Column 1 1,Column 2
2/6/2016,4
2/7/2016,11
2/8/2016,12
2/9/2016,17
2/10/2016,42
2/11/2016,26
2/12/2016,10
2/13/2016,6
2/14/2016,14
2/15/2016,26
2/16/2016,27
2/17/2016,41
2/18/2016,165
2/19/2016,63
2/20/2016,20
2/21/2016,15
2/22/2016,21
2/23/2016,17
2/24/2016,11
2/25/2016,39
2/26/2016,27
2/27/2016,10
2/28/2016,8
2/29/2016,26
3/1/2016,19
3/2/2016,18
3/3/2016,24
3/4/2016,26
3/5/2016,10
3/6/2016,7
3/7/2016,13
3/8/2016,24
3/9/2016,32
3/10/2016,24
3/11/2016,26
3/12/2016,14
3/13/2016,21
3/14/2016,98
3/15/2016,60
3/16/2016,34
3/17/2016,26
3/18/2016,38
3/19/2016,10
3/20/2016,4
3/21/2016,36
3/22/2016,17
3/23/2016,15
3/24/2016,18
3/25/2016,11
3/26/2016,11
3/27/2016,8
3/28/2016,19
3/29/2016,21
3/30/2016,17
3/31/2016,11
4/1/2016,24
4/2/2016,7
4/3/2016,14
4/4/2016,22
4/5/2016,12
4/6/2016,24
4/7/2016,15
4/8/2016,19
4/9/2016,7
4/10/2016,6
4/11/2016,19
4/12/2016,40
4/13/2016,22
4/14/2016,16
4/15/2016,25
4/16/2016,14
4/17/2016,2
4/18/2016,23
4/19/2016,17
4/20/2016,10
4/21/2016,13
4/22/2016,19
4/23/2016,7
4/24/2016,11
4/25/2016,29
4/26/2016,25
4/27/2016,17
4/28/2016,23
4/29/2016,21
4/30/2016,10
5/1/2016,10
5/2/2016,1596
5/3/2016,388
5/4/2016,110
5/5/2016,236
5/6/2016,157
5/7/2016,29
5/8/2016,23
5/9/2016,35
5/10/2016,30
5/11/2016,27
5/12/2016,23
5/13/2016,20
5/14/2016,11
5/15/2016,9
5/16/2016,21
5/17/2016,12
5/18/2016,11
5/19/2016,15
5/20/2016,20
5/21/2016,5
5/22/2016,16
5/23/2016,14
5/24/2016,22
5/25/2016,81
5/26/2016,31
5/27/2016,25
5/28/2016,10
5/29/2016,11
5/30/2016,77
5/31/2016,316
6/1/2016,31
6/2/2016,16
6/3/2016,16
6/4/2016,7
6/5/2016,9
6/6/2016,13
6/7/2016,16
6/8/2016,17
6/9/2016,14
6/10/2016,16
6/11/2016,5
6/12/2016,3
6/13/2016,23
6/14/2016,18
6/15/2016,13
6/16/2016,13
6/17/2016,31
6/18/2016,8
6/19/2016,3
6/20/2016,59
6/21/2016,47
6/22/2016,24
6/23/2016,20
6/24/2016,30
6/25/2016,16
6/26/2016,9
6/27/2016,19
6/28/2016,34
6/29/2016,20
6/30/2016,14
7/1/2016,28
7/2/2016,8
7/3/2016,6
7/4/2016,27
7/5/2016,35
7/6/2016,47
7/7/2016,22
7/8/2016,17
7/9/2016,8
