dates,distance,occurrences,res.cluster
11/8/15,306,16,9
11/9/15,307,35,9
11/10/15,308,55,9
11/11/15,309,54,9
11/12/15,310,39,9
11/13/15,311,49,9
11/14/15,312,15,9
11/15/15,313,17,9
11/16/15,314,35,9
11/17/15,315,34,9
11/18/15,316,35,9
11/19/15,317,64,9
11/20/15,318,76,9
11/21/15,319,19,9
11/22/15,320,21,10
11/23/15,321,25,10
11/24/15,322,13,10
11/25/15,323,41,10
11/26/15,324,42,10
11/27/15,325,34,10
11/28/15,326,14,10
11/29/15,327,13,10
11/30/15,328,44,10
12/1/15,329,64,10
12/2/15,330,38,10
12/3/15,331,124,10
12/4/15,332,28,10
12/5/15,333,6,10
12/6/15,334,15,10
12/7/15,335,42,10
12/8/15,336,75,10
12/9/15,337,840,10
12/10/15,338,196,10
12/11/15,339,68,10
12/12/15,340,33,10
12/13/15,341,17,10
12/14/15,342,45,10
12/15/15,343,53,10
12/16/15,344,47,10
12/17/15,345,51,10
12/18/15,346,31,10
12/19/15,347,70,10
12/20/15,348,31,10
12/21/15,349,42,10
12/22/15,350,34,10
12/23/15,351,45,10
12/24/15,352,23,10
12/25/15,353,16,10
12/26/15,354,10,10
12/27/15,355,11,10
12/28/15,356,21,10
12/29/15,357,18,11
12/30/15,358,24,11
12/31/15,359,18,11
1/1/16,360,8,11
1/2/16,361,7,11
1/3/16,362,12,11
1/4/16,363,24,11
1/5/16,364,15,11
1/6/16,365,30,11
1/7/16,366,31,11
1/8/16,367,23,11
1/9/16,368,8,11
1/10/16,369,11,11
1/11/16,370,37,11
1/12/16,371,23,11
1/13/16,372,35,11
1/14/16,373,42,11
1/15/16,374,49,11
1/16/16,375,31,11
1/17/16,376,31,11
1/18/16,377,47,11
1/19/16,378,79,11
1/20/16,379,137,11
1/21/16,380,54,11
1/22/16,381,42,11
1/23/16,382,14,11
1/24/16,383,22,11
1/25/16,384,45,11
1/26/16,385,51,11
1/27/16,386,28,11
1/28/16,387,36,11
1/29/16,388,28,11
1/30/16,389,13,11
1/31/16,390,10,11
2/1/16,391,27,12
2/2/16,392,50,12
2/3/16,393,52,12
2/4/16,394,24,12
2/5/16,395,26,12
2/6/16,396,5,12
2/7/16,397,16,12
2/8/16,398,24,12
2/9/16,399,25,12
2/10/16,400,57,12
2/11/16,401,35,12
2/12/16,402,16,12
2/13/16,403,7,12
2/14/16,404,20,12
2/15/16,405,36,12
2/16/16,406,61,12
2/17/16,407,91,12
2/18/16,408,180,12
2/19/16,409,69,12
2/20/16,410,22,12
2/21/16,411,18,12
2/22/16,412,32,12
2/23/16,413,50,12
2/24/16,414,27,12
2/25/16,415,51,12
2/26/16,416,33,12
2/27/16,417,13,12
2/28/16,418,12,12
2/29/16,419,41,13
3/1/16,420,33,13
3/2/16,421,32,13
3/3/16,422,50,13
3/4/16,423,36,13
3/5/16,424,11,13
3/6/16,425,11,13
3/7/16,426,21,13
3/8/16,427,38,13
3/9/16,428,43,13
3/10/16,429,36,13
3/11/16,430,39,13
3/12/16,431,16,13
3/13/16,432,25,13
3/14/16,433,111,13
3/15/16,434,73,13
3/16/16,435,51,13
3/17/16,436,39,13
3/18/16,437,49,13
3/19/16,438,11,13
3/20/16,439,6,13
3/21/16,440,58,13
3/22/16,441,40,13
3/23/16,442,30,13
3/24/16,443,27,13
3/25/16,444,19,13
3/26/16,445,19,14
3/27/16,446,14,14
3/28/16,447,35,14
3/29/16,448,34,14
3/30/16,449,34,14
3/31/16,450,23,14
4/1/16,451,36,14
4/2/16,452,13,14
4/3/16,453,16,14
4/4/16,454,37,14
4/5/16,455,63,14
4/6/16,456,52,14
4/7/16,457,34,14
4/8/16,458,33,14
4/9/16,459,8,14
4/10/16,460,9,14
4/11/16,461,43,14
4/12/16,462,57,14
4/13/16,463,39,14
4/14/16,464,32,14
4/15/16,465,37,14
4/16/16,466,19,14
4/17/16,467,4,14
4/18/16,468,33,14
4/19/16,469,34,14
4/20/16,470,21,14
4/21/16,471,27,15
4/22/16,472,32,15
4/23/16,473,9,15
4/24/16,474,13,15
4/25/16,475,37,15
4/26/16,476,65,15
4/27/16,477,48,15
4/28/16,478,53,15
4/29/16,479,52,15
4/30/16,480,19,15
5/1/16,481,14,15
5/2/16,482,1626,15
5/3/16,483,423,15
5/4/16,484,147,15
5/5/16,485,248,15
5/6/16,486,173,15
5/7/16,487,32,15
5/8/16,488,27,15
5/9/16,489,44,15
5/10/16,490,47,15
5/11/16,491,45,15
5/12/16,492,46,15
5/13/16,493,40,15
5/14/16,494,16,15
5/15/16,495,14,15
5/16/16,496,27,15
5/17/16,497,36,16
5/18/16,498,25,16
5/19/16,499,34,16
5/20/16,500,31,16
5/21/16,501,8,16
5/22/16,502,20,16
5/23/16,503,22,16
5/24/16,504,53,16
5/25/16,505,107,16
5/26/16,506,44,16
5/27/16,507,41,16
5/28/16,508,16,16
5/29/16,509,17,16
5/30/16,510,89,16
5/31/16,511,335,16
6/1/16,512,65,16
6/2/16,513,25,16
6/3/16,514,32,16
6/4/16,515,9,16
6/5/16,516,17,16
6/6/16,517,48,16
6/7/16,518,34,16
6/8/16,519,30,16
6/9/16,520,26,16
6/10/16,521,31,16
6/11/16,522,6,16
6/12/16,523,6,16
6/13/16,524,38,17
6/14/16,525,37,17
6/15/16,526,33,17
6/16/16,527,63,17
6/17/16,528,73,17
6/18/16,529,16,17
6/19/16,530,14,17
6/20/16,531,81,17
6/21/16,532,86,17
6/22/16,533,42,17
6/23/16,534,59,17
6/24/16,535,41,17
6/25/16,536,20,17
6/26/16,537,10,17
6/27/16,538,36,17
6/28/16,539,54,17
6/29/16,540,34,17
6/30/16,541,24,17
7/1/16,542,39,17
7/2/16,543,8,17
7/3/16,544,15,17
7/4/16,545,68,17
7/5/16,546,60,17
7/6/16,547,60,17
7/7/16,548,34,17
7/8/16,549,26,17
7/9/16,550,11,17
7/10/16,551,8,17
7/11/16,552,26,17
7/12/16,553,78,18
7/13/16,554,42,18
7/14/16,555,43,18
7/15/16,556,38,18
7/16/16,557,11,18
7/17/16,558,27,18
7/18/16,559,32,18
7/19/16,560,28,18
7/20/16,561,22,18
7/21/16,562,22,18
7/22/16,563,27,18
7/23/16,564,10,18
7/24/16,565,7,18
7/25/16,566,73,18
7/26/16,567,675,18
7/27/16,568,544,18
7/28/16,569,38,18
7/29/16,570,30,18
7/30/16,571,6,18
7/31/16,572,26,18
8/1/16,573,31,18
8/2/16,574,38,18
8/3/16,575,251,18
8/4/16,576,79,18
8/5/16,577,42,18
8/6/16,578,13,18
8/7/16,579,10,18
8/8/16,580,93,18
8/9/16,581,76,19
8/10/16,582,35,19
8/11/16,583,73,19
8/12/16,584,80,19
8/13/16,585,50,19
8/14/16,586,74,19
8/15/16,587,68,19
8/16/16,588,54,19
8/17/16,589,68,19
8/18/16,590,91,19
8/19/16,591,66,19
8/20/16,592,35,19
8/21/16,593,44,19
8/22/16,594,69,19
8/23/16,595,78,19
8/24/16,596,93,19
8/25/16,597,83,19
8/26/16,598,58,19
8/27/16,599,42,19
8/28/16,600,74,19
8/29/16,601,68,19
8/30/16,602,52,19
8/31/16,603,45,19
9/1/16,604,40,19
9/2/16,605,29,19
9/3/16,606,14,19
9/4/16,607,10,19
9/5/16,608,30,19
9/6/16,609,50,20
9/7/16,610,29,20
9/8/16,611,34,20
9/9/16,612,42,20
9/10/16,613,33,20
9/11/16,614,49,20
9/12/16,615,50,20
9/13/16,616,51,20
9/14/16,617,61,20
9/15/16,618,44,20
9/16/16,619,32,20
9/17/16,620,45,20
9/18/16,621,23,20
9/19/16,622,59,20
9/20/16,623,101,20
9/21/16,624,118,20
9/22/16,625,44,20
9/23/16,626,46,20
9/24/16,627,21,20
9/25/16,628,13,20
9/26/16,629,43,20
9/27/16,630,78,20
9/28/16,631,73,20
9/29/16,632,52,20
9/30/16,633,42,20
10/1/16,634,16,20
10/2/16,635,33,20
10/3/16,636,35,20
10/4/16,637,44,20
10/5/16,638,51,20
10/6/16,639,56,20
10/7/16,640,43,20
10/8/16,641,10,21
10/9/16,642,14,21
10/10/16,643,32,21
10/11/16,644,30,21
10/12/16,645,56,21
10/13/16,646,33,21
10/14/16,647,24,21
10/15/16,648,21,21
10/16/16,649,14,21
10/17/16,650,26,21
10/18/16,651,46,21
10/19/16,652,52,21
10/20/16,653,50,21
10/21/16,654,38,21
10/22/16,655,15,21
10/23/16,656,22,21
10/24/16,657,88,21
10/25/16,658,77,21
10/26/16,659,40,21
10/27/16,660,44,21
10/28/16,661,75,21
10/29/16,662,28,21
10/30/16,663,18,21
10/31/16,664,97,21
11/1/16,665,56,21
11/2/16,666,28,21
11/3/16,667,36,21
11/4/16,668,38,21
11/5/16,669,12,21
11/6/16,670,18,21
11/7/16,671,34,22
11/8/16,672,41,22
11/9/16,673,49,22
11/10/16,674,35,22
11/11/16,675,38,22
11/12/16,676,19,22
11/13/16,677,24,22
11/14/16,678,40,22
11/15/16,679,47,22
11/16/16,680,89,22
11/17/16,681,38,22
11/18/16,682,43,22
11/19/16,683,15,22
11/20/16,684,14,22
11/21/16,685,59,22
11/22/16,686,61,22
11/23/16,687,61,22
11/24/16,688,36,22
11/25/16,689,44,22
11/26/16,690,31,22
11/27/16,691,16,22
11/28/16,692,53,22
11/29/16,693,49,22
11/30/16,694,56,22
12/1/16,695,73,22
12/2/16,696,48,22
12/3/16,697,18,23
12/4/16,698,13,23
12/5/16,699,40,23
12/6/16,700,85,23
12/7/16,701,57,23
12/8/16,702,49,23
12/9/16,703,36,23
12/10/16,704,15,23
12/11/16,705,28,23
12/12/16,706,31,23
12/13/16,707,67,23
12/14/16,708,46,23
12/15/16,709,36,23
12/16/16,710,31,23
12/17/16,711,15,23
12/18/16,712,18,23
12/19/16,713,40,23
12/20/16,714,51,23
12/21/16,715,62,23
12/22/16,716,49,23
12/23/16,717,39,23
12/24/16,718,17,23
12/25/16,719,21,23
12/26/16,720,31,23
12/27/16,721,36,23
12/28/16,722,44,23
12/29/16,723,21,24
12/30/16,724,21,24
12/31/16,725,18,24
1/1/17,726,19,24
1/2/17,727,63,24
1/3/17,728,72,24
1/4/17,729,56,24
1/5/17,730,86,24
1/6/17,731,102,24
1/7/17,732,33,24
1/8/17,733,16,24
1/9/17,734,99,24
1/10/17,735,76,24
1/11/17,736,154,24
1/12/17,737,169,24
1/13/17,738,69,24
1/14/17,739,26,24
1/15/17,740,35,24
1/16/17,741,55,24
1/17/17,742,79,24
1/18/17,743,87,24
1/19/17,744,74,24
1/20/17,745,59,24
1/21/17,746,25,24
1/22/17,747,16,24
1/23/17,748,51,24
1/24/17,749,44,25
1/25/17,750,38,25
1/26/17,751,61,25
1/27/17,752,105,25
1/28/17,753,30,25
1/29/17,754,26,25
1/30/17,755,52,25
1/31/17,756,42,25
2/1/17,757,49,25
2/2/17,758,76,25
2/3/17,759,61,25
2/4/17,760,13,25
2/5/17,761,13,25
2/6/17,762,60,25
2/7/17,763,77,25
2/8/17,764,98,25
2/9/17,765,76,25
2/10/17,766,72,25
2/11/17,767,53,25
2/12/17,768,14,25
2/13/17,769,66,25
2/14/17,770,63,25
2/15/17,771,59,25
2/16/17,772,40,25
2/17/17,773,32,25
2/18/17,774,31,25
2/19/17,775,22,26
2/20/17,776,29,26
2/21/17,777,56,26
2/22/17,778,66,26
2/23/17,779,80,26
2/24/17,780,92,26
2/25/17,781,30,26
2/26/17,782,32,26
2/27/17,783,82,26
2/28/17,784,136,26
3/1/17,785,80,26
3/2/17,786,69,26
3/3/17,787,109,26
3/4/17,788,26,26
3/5/17,789,34,26
3/6/17,790,105,26
3/7/17,791,69,26
3/8/17,792,64,26
3/9/17,793,97,26
3/10/17,794,181,26
3/11/17,795,157,26
3/12/17,796,34,26
3/13/17,797,78,27
3/14/17,798,44,27
3/15/17,799,46,27
3/16/17,800,59,27
3/17/17,801,73,27
3/18/17,802,20,27
3/19/17,803,26,27
3/20/17,804,123,27
3/21/17,805,57,27
3/22/17,806,60,27
3/23/17,807,38,27
3/24/17,808,64,27
3/25/17,809,19,27
3/26/17,810,27,27
3/27/17,811,30,27
3/28/17,812,41,27
3/29/17,813,57,27
3/30/17,814,70,27
3/31/17,815,40,27
4/1/17,816,12,27
4/2/17,817,13,27
4/3/17,818,18,27
